ID UBERON	ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	OBO ID Uberon CL	Pliv comments
ID	ID	A rdfs:label	C %	C  'part of' some %	C  'develops from' some %	C  'existence starts during' some %	C  'existence ends during' some %	A obo:IAO_0000115	A oboInOwl:hasExactSynonym								
UBERON:0001062		sea urchin anatomical entity						Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.									
UBERON:0000061		anatomical structure	sea urchin anatomical entity					Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome									
UBERON:0000467		anatomical system	sea urchin anatomical entity					A system that has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity. Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function	organ system, connected anatomical system, body system								
	URCH: 0000001	whole organism	sea urchin anatomical entity					Anatomical structure that is an individual member of a species and consists of one cell or more									
	URCH: 0000002	anatomical region	sea urchin anatomical entity					A region of the whole organism without well-defined compartmental boundaries									
UBERON:0000922		embryo	multicellular organism	whole organism		1-cell stage	prism stage	Anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems									
UBERON:0002548		larva	multicellular organism	whole organism	embryo	early pluteus larva stage  	competent pluteus larva stage										
UBERON:0034919		juvenile	multicellular organism	whole organism	larva	postlarval juvenile stage	exotrophic juvenile stage										
UBERON:0007023		adult	multicellular organism	whole organism	juvenile	adult stage	adult stage										
UBERON:0000468		multicellular organism	whole organism			2-cell stage	adult stage	Anatomical structure that is an individual member of a species and consists of more than one cell									
UBERON:0001007		digestive system	anatomical system	whole organism		blastopore gastrula stage	adult stage	Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes.									
	URCH: 0000005	embryonic digestive system	anatomical system	embryo		blastopore gastrula stage	prism stage	The gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron)									
	URCH: 0000006	larval digestive system	anatomical system	larva		early pluteus larva stage  	competent pluteus larva stage	Organ system responsible for the food uptake and processing in the larva									
	URCH: 0000007	adult digestive system	anatomical system	adult		exotrophic juvenile stage	adult stage	Anatomical system that processes ingested substances in the adult									
UBERON:0002405		immune system	anatomical system	whole organism		early pluteus larva stage  	adult stage										
		larval immune system	anatomical system	larva		early pluteus larva stage  	competent pluteus larva stage										
		adult immune system	anatomical system	adult		postlarval juvenile stage	adult stage										
UBERON:0000990		reproductive system	anatomical system	adult		adult stage	adult stage	Anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads.									
UBERON:0001016		nervous system	anatomical system	whole organism		mesenchyme blastula stage	adult stage										
		embryonic nervous system in development	anatomical system	embryo		mesenchyme blastula stage	prism stage										
		larval nervous system	anatomical system	larva		early pluteus larva stage  	competent pluteus larva stage										
		adult nervous system	anatomical system			8-arm pluteus larva stage	adult stage										
UBERON:0000383		muscular system	anatomical system	whole organism		early pluteus larva stage  	adult stage										
		larval muscular system	anatomical system	larva		early pluteus larva stage  	competent pluteus larva stage										
		adult muscular system	anatomical system			8-arm pluteus larva stage	adult stage										
