ID	Stage	part of stage	stage preceded by 	dev stage	Synonyms	Reference	Time	Definition
ID	A rdfs:label	C 'part of' some %	C 'immediately preceded by' some %	C %	A oboInOwl:hasExactSynonym SPLIT=|	A obo:IAO_0000301		A obo:IAO_0000115
PLIV:0000001	gametogenesis			obo:UBERON_0000105				
PLIV:0000002	oogenesis period	gametogenesis						
PLIV:0000003	oocyte with germinal vesicle stage	oogenesis period					0	A large germinal vesicle as well as a nucleolus are visible close to the animal pole
PLIV:0000004	oocyte with polar bodies stage	oogenesis period	oocyte with germinal vesicle stage				0	The germinal vesicle is no longer visible, two polar bodies are visible near the animal pole, pigment granules are homogenously distributed.
PLIV:0000005	spermatogenesis period	gametogenesis						
PLIV:0000006	gamete stage			obo:UBERON_0000105				
PLIV:0000007	unfertilized egg stage	gamete stage	oogenesis period				0	Unfertilized egg arrested in meiotic G1 phase. Average size is 93 mm. Pigment granules are concentrated in a subequatorial band.
PLIV:0000008	spermatozoid stage	gamete stage	spermatogenesis period				0	A mature male germ cell that develops from a male adult sea urchin animal and has a cilia that propel it toward the oocyte upon spawning
PLIV:0000009	embryonic development		gamete stage	obo:UBERON_0000105				
PLIV:0000010	zygote period	embryonic development	gamete stage					
PLIV:0000011	1-cell stage	zygote period	gamete stage				0	Zygote. Fertilized egg surrounded by the fertilization envelope. Time since fertilization is 0 min.
PLIV:0000012	cleavage period	embryonic development	zygote period					
PLIV:0000013	2-cell stage	cleavage period	1-cell stage				1h 40'	Two-cell stage embryo. The first cleavage plane is meridional and generates two blastomeres of equal size. Time since fertilization at 18°C is 1hr 40min.
PLIV:0000014	4-cell stage	cleavage period	2-cell stage				2hr 30'	Four-cell stage embryo. The second cleavage plane is also meridional and perpendicular to the first one generating four blastomeres of equal size. Time since fertilization at 18°C is 2hr 30min.
PLIV:0000015	8-cell stage	cleavage period	4-cell stage				3h 20'	Eight-cell stage embryo. The third cleavage is perpendicular to the first two cleavage planes, and in general equatorial. It separates the animal from vegetal territories from one another. Each territory is composed of four cells of equal volume. Not infrequently, though, the furrow can be subequatorial, so that the 4 animal blastomeres are larger than the vegetal quartet. Time since fertilization at 18°C is 3hr 20min.
PLIV:0000016	16-cell stage	cleavage period	8-cell stage				4h 10'	Sixteen-cell stage embryo. All animal and vegetal cells have undergone a fourth cleavage. In the animal hemisphere, this cleavage divided the cells meridionally into eight blastomeres (the mesomeres) of equal volumes. In the vegetal hemisphere, the cells divided unequally through an equatorial cleavage producing four large cells below the equator (the macromeres) and four small cells (the micromeres) at the vegetal pole. Time since fertilization at 18°C is 4hr 10 min.
PLIV:0000017	28-cell stage	cleavage period	16-cell stage				4h 45'	Twenty eight-cell stage embryo. The eight mesomeres divided equatorially and equally to produce the animal tiers an1 at the animal pole and the animal tier an2 located below an1. The macromeres divided meridionally, forming a ring of eight equal cells located below an2. The micromeres have not yet divided. Time since fertilization at 18°C is 4hr 45min.
PLIV:0000018	32-cell stage	cleavage period	28-cell stage				5h	Thirty two-cell stage embryo. This stage is relatively fleeting. A few minutes before the other cells undergo the 6th cleavage, the micromeres divided again unequally and equatorially to produce four large micromeres and four small micromeres at the vegetal pole. Time since fertilization at 18°C is 5hr.
PLIV:0000019	56-cell stage	cleavage period	32-cell stage				5h 30'	Fifty sixth-cell stage embryo. During the sixth cleavage, most blastomeres concomitantly undergo an equatorial cleavage, except for the large and small micromeres of which division is somewhat delayed. The embryo is hence composed at that time of 56-cells, including from the animal to the vegetal pole: 16 an1-cells, 16 an2-cells, 8 veg1-cells, 8 veg2-cells, 8 large micromeres and 4 small micromeres. Time since fertilization at 18°C is 5hr 30min.
PLIV:0000020	60-cell stage	cleavage period	56-cell stage				5h 50'	Sixty cell-stage embryo. At the end of 6th cleavage, the large micromereshave achieved an equatorial divisiongenerating a 60 cell-stageembryo. Time since fertilization is5hr 50min.
PLIV:0000021	blastula period	embryonic development	cleavage period					
PLIV:0000022	very early blastula stage	blastula period	60-cell stage		vEB		6h 50'	Very early blastula stage embryo. At the end of seventh cleavage, the embryo is formed of about 108 cells, including 8 large and 4 small micromeres presenting a rate of division slower than that of the other cells composing the embryo. The cells start to acquire an apico-basal polarity and form a hollow sphere surrounding a central cavity called the blastocoel. Every cell is in contact with the fluid of the blastocoel on the inside and the hyaline layer on the outside. Time since fertilization at 18°C is 6hr 50min.
PLIV:0000023	early blastula stage	blastula period	very early blastula stage		EB		7h 50'	Early blastula stage embryo. The cells continue to divide but the synchrony of cell division ends. At the end of 8th cleavage, the embryo is composed of about 220 cells. Cell divisions proceed by waves from the vegetal to the animal pole. There are 16 large micromeres at the end of 8th cleavage. The embryo remains spherical and one cell layer thick. Time since fertilization at 18°C is 7hr 50min.
PLIV:0000024	mid-blastula stage	blastula period	early blastula stage		mid-B		8h 50'	Mid-blastula stage embryo. Additional cell divisions took place increasing the overall number of cells composing the embryo but without affecting its general size or spherical shape. At that stage, cell divisions are so asynchronous that it is no longer possible to refer to a general 8th, 9th or 10th cleavage. The embryo encompasses between 16 and 32 large micromeres and 8 small micromeres in the vegetal pole region. Time since fertilization at 18°C is 8hr 50min.
